¹ point;t;r;R;L
0;1.10141971042011;2.04518472318559;31.5478672240097;-4.94670558072167
1;1.10141971016529;2.04518471979637;31.5478672289459;-4.94670567583693
2;1.10141970991013;2.04518471640249;31.5478672338892;-4.94670577108288
3;1.10141970965519;2.04518471301171;31.5478672388277;-4.946705866242
4;1.10141970940018;2.04518470961984;31.547867243768;-4.94670596143161
5;1.10141970914519;2.04518470622837;31.5478672487077;-4.94670605660992
6;1.10141970889027;2.04518470283776;31.547867253646;-4.94670615176413
7;1.10141970863522;2.04518469944552;31.5478672585869;-4.94670624696396
8;1.10141970838027;2.04518469605445;31.5478672635259;-4.94670634213071
9;1.10141970812523;2.04518469266225;31.5478672684667;-4.9467064373296
10;1.10141970787029;2.04518468927143;31.5478672734053;-4.94670653248939
11;1.10141970761531;2.04518468588013;31.5478672783446;-4.94670662766303
12;1.10141970736027;2.04518468248792;31.5478672832856;-4.94670672286188
13;1.10141970710531;2.04518467909676;31.5478672882247;-4.94670681803135
14;1.10141970685039;2.04518467570615;31.5478672931629;-4.94670691318563
15;1.1014197065954;2.04518467231465;31.5478672981026;-4.946707008365
16;1.10141970634038;2.04518466892281;31.5478673030428;-4.94670710355326
17;1.10141970608545;2.04518466553211;31.5478673079812;-4.94670719870995
18;1.10141970583042;2.04518466213999;31.5478673129218;-4.94670729390616
19;1.10141970557545;2.04518465874875;31.5478673178613;-4.94670738907782
20;1.10141970532047;2.04518465535738;31.5478673228007;-4.94670748425315
21;1.10141970506549;2.04518465196602;31.5478673277401;-4.94670757942836
22;1.1014197048105;2.04518464857447;31.54786733268;-4.94670767460889
23;1.10141970455553;2.0451846451833;31.5478673376191;-4.94670776977865
24;1.10141970430053;2.04518464179162;31.5478673425591;-4.94670786496283
25;1.10141970404557;2.04518463840045;31.5478673474982;-4.94670796013263
26;1.10141970379057;2.04518463500889;31.547867352438;-4.94670805531309
27;1.10141970353559;2.04518463161737;31.5478673573778;-4.94670815049251
28;1.10141970328063;2.04518462822636;31.5478673623167;-4.94670824565804
29;1.10141970302561;2.04518462483442;31.5478673672571;-4.94670834084952
30;1.10141970277064;2.04518462144313;31.5478673721964;-4.94670843602288
31;1.10141970251563;2.04518461805133;31.5478673771366;-4.94670853121011
32;1.10141970226067;2.04518461466021;31.5478673820756;-4.94670862637866
33;1.10141970200571;2.0451846112692;31.5478673870145;-4.94670872154372
34;1.10141970175066;2.04518460787681;31.5478673919558;-4.94670881674787
35;1.10141970149572;2.04518460448604;31.5478673968942;-4.9467089119064
36;1.10141970124074;2.04518460109461;31.5478674018339;-4.94670900708345
37;1.10141970098578;2.04518459770354;31.5478674067728;-4.94670910225064
