¹ point;t;r;R;L
0;1.06921956959983;2.04518472318559;64.6330407009565;-2.96019326411639
1;1.06921956957376;2.04518472238199;64.6330407044409;-2.96019330642382
2;1.069219569547;2.04518472155653;64.6330407080404;-2.96019334988299
3;1.06921956952053;2.04518472074046;64.6330407115891;-2.96019339284638
4;1.06921956949414;2.04518471992667;64.6330407151266;-2.96019343569064
5;1.06921956946771;2.0451847191116;64.6330407186705;-2.96019347860184
6;1.0692195694413;2.04518471829721;64.6330407222126;-2.96019352147722
7;1.06921956941489;2.045184717483;64.6330407257527;-2.96019356434271
8;1.06921956938846;2.04518471666774;64.6330407292979;-2.96019360726434
9;1.06921956936204;2.04518471585313;64.633040732841;-2.96019365015167
10;1.06921956933559;2.04518471503744;64.6330407363876;-2.96019369309574
11;1.06921956930924;2.04518471422506;64.6330407399185;-2.96019373586539
12;1.06921956928274;2.0451847134077;64.6330407434743;-2.96019377889795
13;1.06921956925629;2.04518471259214;64.6330407470217;-2.96019382183512
14;1.06921956922996;2.04518471178018;64.6330407505499;-2.96019386458342
15;1.06921956920349;2.04518471096413;64.6330407540997;-2.96019390754615
16;1.06921956917708;2.04518471014957;64.633040757642;-2.96019395043083
17;1.0692195691507;2.04518470933628;64.6330407611769;-2.96019399324823
18;1.06921956912428;2.04518470852142;64.6330407647206;-2.96019403614864
19;1.06921956909784;2.04518470770631;64.6330407682645;-2.96019407906225
20;1.0692195690714;2.04518470689082;64.6330407718119;-2.96019412199602
21;1.06921956904504;2.04518470607786;64.6330407753454;-2.96019416479614
22;1.06921956901856;2.04518470526152;64.633040778896;-2.96019420777452
23;1.06921956899212;2.04518470444608;64.6330407824429;-2.96019425070487
24;1.06921956896573;2.0451847036323;64.6330407859797;-2.96019429354857
25;1.06921956893936;2.0451847028192;64.6330407895142;-2.960194336357
26;1.06921956891293;2.04518470200417;64.6330407930592;-2.96019437926638
27;1.06921956888641;2.0451847011864;64.6330407966171;-2.96019442231951
28;1.06921956886005;2.04518470037361;64.6330408001497;-2.9601944651108
29;1.06921956883357;2.04518469955689;64.6330408037016;-2.96019450810875
30;1.06921956880719;2.04518469874362;64.6330408072376;-2.96019455092515
31;1.06921956878085;2.04518469793138;64.6330408107682;-2.96019459368779
32;1.06921956875437;2.04518469711483;64.6330408143188;-2.96019463667718
33;1.06921956872791;2.04518469629901;64.6330408178677;-2.96019467962787
34;1.06921956870154;2.04518469548565;64.6330408214037;-2.96019472244894
35;1.0692195686751;2.04518469467051;64.6330408249483;-2.96019476536337
36;1.06921956864871;2.04518469385668;64.6330408284861;-2.9601948082099
37;1.06921956862225;2.04518469304078;64.6330408320353;-2.96019485116609
38;1.06921956859586;2.04518469222704;64.6330408355725;-2.96019489400761
39;1.06921956856939;2.04518469141077;64.6330408391223;-2.96019493698196
40;1.06921956854293;2.04518469059468;64.6330408426727;-2.96019497994727
41;1.06921956851658;2.04518468978217;64.6330408462046;-2.96019502272474
42;1.06921956849009;2.04518468896539;64.6330408497568;-2.96019506572605
43;1.06921956846376;2.04518468815333;64.6330408532864;-2.96019510847941
44;1.06921956843728;2.04518468733698;64.6330408568373;-2.96019515145829
45;1.06921956841087;2.04518468652242;64.6330408603786;-2.96019519434348
