t;x;u;c;rho
0.5306835971702371;1.5017888809901863;0.0101587514713183;6.3116038801276124;10016.1004746328817419
0.5306835971702371;1.5017899479183996;0.0095138575506104;6.3114748698853127;10015.0768626080953254
0.5306835971702371;1.5017910140487789;0.0088690676405409;6.3113459089700887;10014.0537256029474520
0.5306835971702371;1.5017920802875742;0.0082239294253195;6.3112168771573272;10013.0301098074723996
0.5306835971702371;1.5017931466344927;0.0075783948241048;6.3110877772026122;10012.0060372120260581
0.5306835971702371;1.5017942130914947;0.0069324922999847;6.3109586017598671;10010.9814496792769205
0.5306835971702371;1.5017952796561482;0.0062862385270504;6.3108293541690257;10009.9563738394117536
0.5306835971702371;1.5017963463317747;0.0056396197428595;6.3107000316703878;10008.9307879431253241
0.5306835971702371;1.5017974131161860;0.0049926346741856;6.3105706340141188;10007.9046901502733817
0.5306835971702371;1.5017984800088502;0.0043452934534730;6.3104411632275212;10006.8780966764534242
0.5306835971702371;1.5017995470090142;0.0037767594708887;6.3103274519901831;10005.9765325441658206
0.5306835971702371;1.5018006141128490;0.0032080941595781;6.3102137191771419;10005.0748623484469135
0.5306835971702371;1.5018016813202903;0.0026391605316802;6.3100999379251528;10004.1728731748480641
0.5306835971702371;1.5018027486317629;0.0020699758672863;6.3099861045760974;10003.2705361067164631
0.5306835971702371;1.5018038160473459;0.0015005395026781;6.3098722189970120;10002.3678501760605286
0.5306835971702371;1.5018048835671227;0.0009308515251413;6.3097582812049327;10001.4648156040329923
0.5306835971702371;1.5018059511910429;0.0003620328814404;6.3096445153892997;10000.5632091382813087
0.5306835971702371;1.5018070189118995;-0.0000000076381977;6.3095721033231289;9999.9893695014179684
0.5306835971702371;1.5018080867106169;0.0000000195696655;6.3095721029672065;9999.9893666809257411
0.5306835971702371;1.5018091545742218;0.0000000155748600;6.3095721070528281;9999.9893990572672919
0.5306835971702371;1.5018102225032526;0.0000000086056144;6.3095721099336286;9999.9894218860536057
0.5306835971702371;1.5018112904978105;0.0000000016557238;6.3095721110099667;9999.9894304154513520
0.5306835971702371;1.5018123585579708;-0.0000000052815426;6.3095721102801727;9999.9894246322292020
0.5306835971702371;1.5018134266838117;-0.0000000122002272;6.3095721077461047;9999.9894045511100558
0.5306835971702371;1.5018144948750471;-0.0000000191018572;6.3095721034068264;9999.9893701646760746
0.5306835971702371;1.5018155631318399;0.0000000013074219;6.3095721027215745;9999.9893647344251804
0.5306835971702371;1.5018166314541126;0.0000000172351675;6.3095721040438972;9999.9893752131174551
0.5306835971702371;1.5018176998414250;0.0000000107828334;6.3095721080529534;9999.9894069827205385
0.5306835971702371;1.5018187682941357;0.0000000043382101;6.3095721102563127;9999.9894244431507104
0.5306835971702371;1.5018198368126474;-0.0000000020964188;6.3095721106536828;9999.9894275920942164
0.5306835971702371;1.5018209053963487;-0.0000000085297034;6.3095721092446091;9999.9894164259476383
0.5306835971702371;1.5018219740459495;-0.0000000149540457;6.3095721060286136;9999.9893909409220214
0.5306835971702371;1.5018230427608414;-0.0000000137957210;6.3095721025223330;9999.9893631555441971
