¹ point;t;r;R;L
0;0.530683597170237;1.50178829884258;31.5478672240097;-4.92146728694921
1;0.530683596977385;1.50178829627509;31.5478672341908;-4.92146751748098
2;0.53068359678397;1.50178829370013;31.5478672444039;-4.92146774868537
3;0.530683596590814;1.5017882911286;31.5478672546025;-4.92146797958025
4;0.530683596397676;1.50178828855731;31.5478672648;-4.92146821045449
5;0.530683596204526;1.50178828598587;31.5478672749978;-4.92146844134144
6;0.530683596011348;1.50178828341405;31.5478672851979;-4.92146867226271
7;0.530683595818222;1.50178828084293;31.5478672953944;-4.92146890312183
8;0.530683595625121;1.50178827827214;31.5478673055894;-4.92146913394946
9;0.530683595431891;1.50178827569962;31.5478673157926;-4.9214693649333
10;0.53068359523879;1.50178827312882;31.5478673259879;-4.92146959576258
11;0.53068359504564;1.50178827055739;31.547867336186;-4.92146982664922
12;0.530683594852464;1.50178826798559;31.5478673463857;-4.9214700575697
13;0.530683594659354;1.50178826541468;31.5478673565812;-4.92147028840921
14;0.530683594466209;1.50178826284331;31.5478673667792;-4.92147051929069
15;0.530683594272969;1.50178826027066;31.5478673769826;-4.92147075028622
16;0.530683594079902;1.50178825770033;31.5478673871757;-4.9214709810739
17;0.530683593886754;1.50178825512891;31.5478673973738;-4.92147121195828
18;0.530683593693595;1.50178825255734;31.5478674075725;-4.92147144285568
19;0.530683593500399;1.50178824998528;31.5478674177734;-4.92147167379875
20;0.530683593307299;1.5017882474145;31.5478674279684;-4.92147190462585
21;0.530683593114196;1.50178824484368;31.5478674381638;-4.92147213545728
22;0.530683592921007;1.50178824227172;31.5478674483643;-4.92147236639048
23;0.530683592727858;1.50178823970029;31.5478674585622;-4.92147259727623
24;0.530683592534737;1.50178823712923;31.5478674687589;-4.92147282812955
25;0.530683592341553;1.50178823455733;31.5478674789588;-4.9214730590578
26;0.530683592148484;1.50178823198697;31.5478674891522;-4.92147328984825
27;0.53068359195528;1.50178822941481;31.5478674993535;-4.92147352079989
28;0.530683591762119;1.50178822684322;31.5478675095523;-4.92147375169972
29;0.530683591569;1.50178822427219;31.5478675197485;-4.92147398254957
30;0.530683591375877;1.50178822170111;31.5478675299449;-4.92147421340422
31;0.530683591182689;1.50178821912916;31.5478675401454;-4.92147444433602
32;0.530683590989554;1.50178821655792;31.5478675503427;-4.92147467520519
33;0.530683590796381;1.50178821398616;31.5478675605422;-4.92147490612061
34;0.530683590603249;1.50178821141496;31.5478675707393;-4.9214751369862
35;0.530683590410105;1.5017882088436;31.547867580937;-4.92147536786597
36;0.530683590216964;1.50178820627227;31.5478675911346;-4.92147559874298
37;0.530683590023807;1.50178820370074;31.5478676013333;-4.92147582963757
38;0.530683589830691;1.50178820112975;31.5478676115291;-4.92147606048405
39;0.530683589637561;1.50178819855857;31.547867621726;-4.92147629134769
