numOfLayer;numOnLayer;t;x;u;c;u+c;u-c;
1;151;0;2.58266;0;1;1;-1;
1;152;0;2.59265;0;1;1;-1;
1;153;0;2.60265;0;1;1;-1;
1;154;0;2.61264;0;1;1;-1;
1;155;0;2.62264;0;1;1;-1;
1;156;0;2.63263;0;1;1;-1;
1;157;0;2.64263;0;1;1;-1;
1;158;0;2.65262;0;1;1;-1;
1;159;0;2.66261;0;1;1;-1;
1;160;0;2.67261;0;1;1;-1;
1;161;0;2.6826;0;1;1;-1;
1;162;0;2.6926;0;1;1;-1;
1;163;0;2.70259;0;1;1;-1;
1;164;0;2.71259;0;1;1;-1;
1;165;0;2.72258;0;1;1;-1;
1;166;0;2.73258;0;1;1;-1;
1;167;0;2.74257;0;1;1;-1;
1;168;0;2.75256;0;1;1;-1;
1;169;0;2.76256;0;1;1;-1;
1;170;0;2.77255;0;1;1;-1;
1;171;0;2.78255;0;1;1;-1;
1;172;0;2.79254;0;1;1;-1;
1;173;0;2.80254;0;1;1;-1;
1;174;0;2.81253;0;1;1;-1;
1;175;0;2.82253;0;1;1;-1;
1;176;0;2.83252;0;1;1;-1;
1;177;0;2.84251;0;1;1;-1;
1;178;0;2.85251;0;1;1;-1;
1;179;0;2.8625;0;1;1;-1;
1;180;0;2.8725;0;1;1;-1;
1;181;0;2.88249;0;1;1;-1;
1;182;0;2.89249;0;1;1;-1;
1;183;0;2.90248;0;1;1;-1;
1;184;0;2.91248;0;1;1;-1;
1;185;0;2.92247;0;1;1;-1;
1;186;0;2.93246;0;1;1;-1;
1;187;0;2.94246;0;1;1;-1;
1;188;0;2.95245;0;1;1;-1;
1;189;0;2.96245;0;1;1;-1;
1;190;0;2.97244;0;1;1;-1;
1;191;0;2.98244;0;1;1;-1;
1;192;0;2.99243;0;1;1;-1;
1;193;0;3.00243;0;1;1;-1;
1;194;0;3.01242;0;1;1;-1;
1;195;0;3.02242;0;1;1;-1;
1;196;0;3.03241;0;1;1;-1;
1;197;0;3.0424;0;1;1;-1;
1;198;0;3.0524;0;1;1;-1;
1;199;0;3.06239;0;1;1;-1;
1;200;0;3.07239;0;1;1;-1;
1;201;0;3.08238;0;1;1;-1;
1;202;0;3.09238;0;1;1;-1;
1;203;0;3.10237;0;1;1;-1;
1;204;0;3.11237;0;1;1;-1;
1;205;0;3.12236;0;1;1;-1;
1;206;0;3.13235;0;1;1;-1;
1;207;0;3.14235;0;1;1;-1;
1;208;0;3.15234;0;1;1;-1;
1;209;0;3.16234;0;1;1;-1;
1;210;0;3.17233;0;1;1;-1;
1;211;0;3.18233;0;1;1;-1;
1;212;0;3.19232;0;1;1;-1;
