num;t;r;R;L
103;0.091248414;1.071678504;10.00025368;-4.927789195
104;0.091238009;1.071652115;10.00030441;-4.929348361
105;0.091227609;1.071625747;10.0003551;-4.93090688
106;0.091217215;1.0715994;10.00040576;-4.932464754
107;0.091206826;1.071573074;10.00045638;-4.934021985
108;0.091196441;1.071546769;10.00050697;-4.935578575
109;0.091186063;1.071520484;10.00055751;-4.937134524
110;0.091175689;1.071494221;10.00060803;-4.938689835
111;0.09116532;1.071467979;10.0006585;-4.940244509
112;0.091154957;1.071441757;10.00070894;-4.941798548
113;0.091144599;1.071415557;10.00075935;-4.943351953
114;0.091134246;1.071389377;10.00080971;-4.944904726
115;0.091123898;1.071363218;10.00086005;-4.946456869
116;0.091113555;1.071337079;10.00091034;-4.948008382
117;0.091103217;1.071310962;10.0009606;-4.949559268
118;0.091092885;1.071284865;10.00101083;-4.951109528
119;0.091082557;1.071258789;10.00106101;-4.952659163
120;0.091072235;1.071232733;10.00111117;-4.954208176
121;0.091061918;1.071206698;10.00116128;-4.955756568
122;0.091061798;1.071206395;10.00116187;-4.955774619
123;0.091051583;1.071180627;10.00121146;-4.955781106
124;0.091041248;1.071154555;10.00126163;-4.955787673
125;0.091030913;1.071128482;10.00131181;-4.955794242
126;0.091020578;1.071102409;10.00136199;-4.955800814
127;0.091010242;1.071076335;10.00141217;-4.955807389
128;0.090999907;1.07105026;10.00146236;-4.955813967
129;0.090989571;1.071024184;10.00151254;-4.955820547
130;0.090979235;1.070998107;10.00156273;-4.955827131
131;0.09097585;1.070989567;10.00157916;-4.955829287
132;0.090968899;1.070972032;10.00161292;-4.955833703
133;0.090958563;1.070945956;10.00166311;-4.955840271
134;0.090948228;1.07091988;10.00171331;-4.955846842
135;0.090937892;1.070893803;10.0017635;-4.955853415
136;0.090927555;1.070867725;10.0018137;-4.955859992
137;0.090917219;1.070841647;10.0018639;-4.955866571
138;0.090906883;1.070815568;10.0019141;-4.955873153
139;0.090896546;1.070789488;10.00196431;-4.955879738
140;0.090889911;1.070772749;10.00199653;-4.955883966
141;0.090886209;1.070763408;10.00201451;-4.955886319
142;0.090875873;1.070737329;10.00206472;-4.955892891
143;0.090865537;1.07071125;10.00211493;-4.955899466
144;0.0908552;1.070685169;10.00216515;-4.955906043
145;0.090844863;1.070659088;10.00221536;-4.955912624
146;0.090834526;1.070633006;10.00226558;-4.955919207
147;0.090824189;1.070606924;10.0023158;-4.955925793
148;0.090813852;1.070580841;10.00236602;-4.955932382
149;0.090803979;1.070555929;10.00241398;-4.955938677
150;0.090803514;1.070554757;10.00241624;-4.955938972
151;0.090793177;1.070528674;10.00246646;-4.955945548
152;0.09078284;1.070502591;10.00251669;-4.955952127
153;0.090772503;1.070476508;10.00256692;-4.955958709
154;0.090762165;1.070450423;10.00261715;-4.955965293
155;0.090751828;1.070424338;10.00266739;-4.95597188
156;0.09074149;1.070398252;10.00271762;-4.95597847
157;0.090731152;1.070372165;10.00276786;-4.955985063
158;0.090720814;1.070346078;10.0028181;-4.955991658
159;0.090718052;1.070339108;10.00283152;-4.955993421
160;0.090710476;1.070319991;10.00286834;-4.955998243
161;0.090700138;1.070293905;10.00291859;-4.956004826
