¹ point;t;r;R;L
0;0.515904791648158;1.50178829884258;64.6330407009565;-2.9472666559605
1;0.515904791623954;1.50178829809604;64.6330407097989;-2.94726674043541
2;0.515904791600217;1.50178829736392;64.6330407184684;-2.94726682327936
3;0.515904791576238;1.50178829662435;64.6330407272267;-2.94726690696566
4;0.515904791552342;1.50178829588735;64.6330407359488;-2.94726699036026
5;0.515904791528301;1.50178829514584;64.6330407447345;-2.94726707426476
6;0.51590479150436;1.50178829440743;64.6330407534787;-2.94726715781991
7;0.515904791480377;1.50178829366774;64.6330407622388;-2.94726724151808
8;0.515904791456411;1.50178829292854;64.6330407709917;-2.94726732516313
9;0.51590479143245;1.50178829218953;64.6330407797436;-2.94726740878641
10;0.515904791408447;1.50178829144921;64.6330407885123;-2.94726749255703
11;0.515904791384515;1.50178829071108;64.633040797252;-2.94726757608038
12;0.515904791360521;1.50178828997103;64.6330408060178;-2.94726765982118
13;0.515904791336551;1.50178828923172;64.6330408147729;-2.94726774347869
14;0.515904791312598;1.50178828849295;64.6330408235197;-2.94726782707163
15;0.515904791288639;1.50178828775397;64.6330408322707;-2.94726791068992
16;0.515904791264668;1.50178828701464;64.6330408410266;-2.94726799434789
17;0.51590479124068;1.50178828627478;64.6330408497898;-2.94726807806604
18;0.515904791216692;1.50178828553492;64.633040858552;-2.94726816178315
19;0.515904791192777;1.50178828479733;64.633040867282;-2.94726824524522
20;0.515904791168765;1.50178828405671;64.633040876056;-2.94726832904866
21;0.515904791144882;1.50178828332011;64.6330408847751;-2.94726841239911
22;0.515904791120848;1.50178828257884;64.6330408935573;-2.94726849627697
23;0.515904791096905;1.50178828184037;64.6330409022998;-2.94726857983898
24;0.515904791072921;1.50178828110062;64.6330409110614;-2.94726866354498
25;0.515904791048967;1.50178828036182;64.6330409198103;-2.94726874714271
26;0.515904791024973;1.50178827962178;64.6330409285743;-2.94726883088366
27;0.515904791001031;1.50178827888332;64.6330409373183;-2.94726891444297
28;0.515904790977001;1.50178827814218;64.6330409460988;-2.94726899830695
29;0.515904790953063;1.50178827740387;64.633040954839;-2.94726908185071
30;0.515904790929105;1.50178827666491;64.6330409635918;-2.94726916546761
31;0.515904790905114;1.50178827592497;64.6330409723548;-2.94726924919615
32;0.515904790881216;1.50178827518789;64.6330409810788;-2.94726933260015
33;0.515904790857202;1.50178827444724;64.6330409898534;-2.94726941640759
34;0.515904790833218;1.50178827370748;64.6330409986145;-2.94726950011504
35;0.515904790809216;1.50178827296722;64.6330410073821;-2.94726958387931
36;0.515904790785247;1.50178827222793;64.633041016138;-2.94726966753388
37;0.51590479076136;1.50178827149118;64.6330410248577;-2.94726975090071
38;0.515904790737378;1.50178827075153;64.6330410336181;-2.94726983459645
39;0.515904790713357;1.50178827001062;64.6330410423952;-2.94726991843419
40;0.515904790689442;1.50178826927303;64.6330410511261;-2.9472700018963
41;0.515904790665468;1.50178826853359;64.6330410598838;-2.94727008556671
42;0.515904790641453;1.50178826779291;64.633041068657;-2.94727016937806
43;0.515904790617531;1.50178826705507;64.6330410773923;-2.94727025286771
44;0.515904790593527;1.50178826631473;64.633041086161;-2.94727033664038
45;0.515904790569574;1.50178826557596;64.6330410949101;-2.94727042023526
46;0.515904790545605;1.50178826483667;64.6330411036646;-2.94727050388918
47;0.515904790521613;1.50178826409669;64.6330411124291;-2.94727058762186
48;0.515904790497687;1.50178826335873;64.6330411211653;-2.94727067112698
49;0.515904790473757;1.50178826262069;64.6330411299047;-2.9472707546399
50;0.515904790449734;1.50178826187973;64.6330411386817;-2.94727083848263
51;0.515904790425763;1.5017882611404;64.6330411474352;-2.94727092214113
52;0.515904790401799;1.50178826040129;64.6330411561895;-2.94727100577428
53;0.515904790377818;1.50178825966163;64.6330411649483;-2.94727108947068
54;0.515904790353897;1.50178825892385;64.6330411736821;-2.94727117295362
55;0.515904790329922;1.50178825818438;64.6330411824409;-2.94727125662921
56;0.515904790305933;1.50178825744451;64.6330411912035;-2.94727134035009
57;0.515904790281987;1.50178825670594;64.6330411999488;-2.94727142392357
58;0.515904790257989;1.50178825596576;64.6330412087159;-2.94727150767793
59;0.515904790234029;1.50178825522677;64.6330412174672;-2.94727159129968
60;0.515904790210044;1.501788254487;64.6330412262278;-2.94727167500898
61;0.515904790186097;1.50178825374842;64.6330412349736;-2.94727175858311
62;0.515904790162194;1.50178825301116;64.6330412437001;-2.94727184200688
63;0.515904790138136;1.50178825226916;64.6330412524921;-2.94727192596879
64;0.515904790114114;1.50178825152824;64.6330412612712;-2.94727200980779
65;0.515904790090212;1.50178825079102;64.633041269997;-2.94727209322794
66;0.515904790066259;1.50178825005224;64.6330412787445;-2.94727217682448
67;0.515904790042307;1.50178824931351;64.6330412874901;-2.94727226041495
68;0.515904790018278;1.50178824857237;64.6330412962723;-2.94727234427808
69;0.515904789994307;1.50178824783306;64.633041305027;-2.94727242793409
70;0.515904789970392;1.50178824709542;64.6330413137598;-2.94727251140176
71;0.515904789946388;1.50178824635508;64.6330413225287;-2.94727259517413
72;0.515904789922415;1.50178824561568;64.6330413312852;-2.94727267884117
73;0.515904789898436;1.50178824487609;64.633041340044;-2.94727276252743
74;0.515904789874472;1.50178824413699;64.633041348797;-2.94727284616039
75;0.515904789850502;1.50178824339768;64.6330413575526;-2.94727292981739
76;0.515904789826555;1.50178824265909;64.6330413662985;-2.94727301339206
77;0.515904789802568;1.50178824191925;64.6330413750583;-2.9472730971092
78;0.515904789778637;1.50178824118116;64.6330413837973;-2.94727318062565
79;0.515904789754682;1.5017882404423;64.6330413925487;-2.94727326423177
80;0.515904789730681;1.50178823970206;64.6330414013144;-2.94727334799414
81;0.515904789706751;1.50178823896399;64.6330414100536;-2.9472734315108
82;0.515904789682735;1.50178823822323;64.6330414188294;-2.94727351533044
83;0.515904789658775;1.50178823748424;64.6330414275785;-2.94727359895164
84;0.515904789634833;1.50178823674582;64.6330414363221;-2.94727368250891
85;0.515904789610837;1.5017882360057;64.6330414450885;-2.94727376625697
86;0.515904789586902;1.50178823526747;64.63304145383;-2.94727384979054
87;0.515904789562915;1.50178823452763;64.6330414625906;-2.94727393350784
88;0.515904789538925;1.50178823378773;64.633041471355;-2.94727401723149
89;0.515904789514972;1.50178823304893;64.633041480102;-2.94727410083026
90;0.515904789490993;1.50178823230937;64.6330414888617;-2.94727418451556
91;0.515904789467043;1.50178823157068;64.6330414976082;-2.94727426810069
92;0.515904789443065;1.50178823083112;64.6330415063673;-2.94727435178564
